,-LN(loss),Time_totall,Rounds,Time_Average,Average_Price
200,1.2095573174892464,347.8580960855394,2.99,116.33131143399052,91.0044434431214
400,1.433284288167295,593.6307912511108,5.0,118.72615825022218,90.47272285650814
600,1.6130697899417548,937.0507561614792,7.71,121.50746935682042,84.83074062860832
800,1.6887406661747044,1098.0535540891563,9.29,118.17920068639506,89.81221527505824
1000,1.7185672627508481,1142.932853347087,10.01,114.17999468593193,105.3020534264495
