,Critic_loss
0,8.936302185058594
1,8.602392196655273
2,15.48188304901123
3,6.2052412033081055
4,7.985790729522705
5,8.004812240600586
6,14.152019500732422
7,8.689915657043457
8,10.478873252868652
9,4.4978251457214355
10,8.283957481384277
11,4.458135604858398
12,5.250127792358398
13,4.36946439743042
14,6.42691707611084
15,5.387241363525391
16,5.849222183227539
17,5.737179279327393
18,5.99501895904541
19,4.1375885009765625
20,3.9948654174804688
21,3.016401767730713
22,3.6896181106567383
23,3.461747169494629
24,2.9047515392303467
25,4.349381923675537
26,2.0551466941833496
27,7.050474643707275
28,2.6282851696014404
29,2.4172987937927246
30,4.919386863708496
31,3.851140260696411
32,4.637957572937012
33,2.9676318168640137
34,2.4241068363189697
35,2.2287757396698
36,2.665937662124634
37,2.3683812618255615
38,3.0777814388275146
39,1.181356430053711
40,1.7429628372192383
41,2.8187930583953857
42,2.0481786727905273
43,2.1228864192962646
44,2.7903268337249756
45,2.577873468399048
46,3.543527841567993
47,2.5938868522644043
48,2.5811545848846436
49,2.361452341079712
50,3.1970908641815186
51,2.6219751834869385
52,2.3570425510406494
53,3.15047550201416
54,2.1680054664611816
55,2.983372688293457
56,2.045027256011963
57,2.773380756378174
58,2.4199063777923584
59,2.6546311378479004
60,2.7230992317199707
61,2.7711315155029297
62,2.7662062644958496
63,2.45881724357605
64,2.4184718132019043
65,2.6623096466064453
66,2.268362283706665
67,2.304276466369629
68,2.515507459640503
69,2.2671306133270264
70,2.6743199825286865
71,2.133281707763672
72,2.8877415657043457
73,2.593912124633789
74,2.9542486667633057
75,2.392075300216675
76,2.1937549114227295
77,2.2980315685272217
78,2.2201058864593506
79,2.3140461444854736
80,2.5433900356292725
81,2.9974875450134277
82,2.3315231800079346
83,2.644862651824951
84,2.35453462600708
85,2.7382049560546875
86,2.073098659515381
87,2.337733507156372
88,2.6491668224334717
89,2.285888195037842
90,3.186095952987671
91,2.6026623249053955
92,2.5950074195861816
93,2.0463833808898926
94,2.4096839427948
95,2.64787220954895
96,2.0359013080596924
97,2.5758121013641357
98,1.884054183959961
99,2.25691819190979
100,2.4242823123931885
101,2.049476385116577
102,2.2075066566467285
103,2.413099527359009
104,2.6637327671051025
105,2.575495719909668
106,2.6276485919952393
107,2.5090103149414062
108,2.382467031478882
109,2.5651512145996094
110,2.2749438285827637
111,2.413677453994751
112,2.3286783695220947
113,2.1205532550811768
114,2.6250357627868652
115,2.2237446308135986
116,2.253995895385742
117,2.6937804222106934
118,2.2416296005249023
119,2.5666275024414062
120,2.5575644969940186
121,2.261577844619751
122,2.3744781017303467
123,3.1917383670806885
124,2.3387603759765625
125,2.775097608566284
126,1.9443680047988892
127,2.765148878097534
128,2.4909474849700928
129,2.269556760787964
130,2.2320055961608887
131,1.917493224143982
132,2.85250186920166
133,2.566789388656616
134,2.3931376934051514
135,2.2849812507629395
136,2.7325475215911865
137,2.607520580291748
138,2.4193785190582275
139,2.3430962562561035
140,2.351868152618408
141,2.278954029083252
142,2.0166513919830322
143,2.439910650253296
144,3.0968639850616455
145,2.6587252616882324
146,2.510225296020508
147,2.4080007076263428
148,2.5168850421905518
149,2.112732410430908
150,2.10891056060791
151,2.2799155712127686
152,2.3958842754364014
153,2.575209140777588
154,2.6749870777130127
155,2.2720580101013184
156,2.0466413497924805
157,2.5167653560638428
