,-LN(loss),Time_totall,Rounds,Time_Average,Average_Price
200,1.2718650608555497,349.55787303660327,2.99,116.90120113182097,91.45054143790531
400,1.489081607553736,582.6185532437863,5.0,116.52371064875726,91.84038397462479
600,1.6268685467209807,811.6052185288763,7.04,115.2820250488915,89.78516974018792
800,1.7480797672961896,1134.5850569843515,9.64,117.66418239515741,88.25624789788846
1000,1.7623470619089,1149.389812684893,10.0,114.9389812684893,102.98899276794691
