,greedy,Baseline,HRL
40,66.66292178848312,45.78251122058557,
60,57.128509044081426,44.14325323358324,
80,85.51528844500655,46.31799510022421,
100,78.16046138503555,44.11364783873888,
120,90.57177951101811,48.06274111376783,
