,Accumulated_reward_HRL
534,-2.0899266098017573
535,-2.8342408433460538
536,-2.3760785787949157
537,-3.553679352513208
538,-2.0891911128571623
539,-1.5341553880261494
540,-3.89343965399773
541,-3.5127166015868547
542,-2.9687506724321153
543,-3.104481178834609
544,-1.496906396003164
545,-1.5207856919884886
546,-2.3717875630126253
547,-2.9264205745022083
548,-3.3408749604136756
549,-2.861023339734403
550,-2.3315517915909068
551,-1.3538360213998373
552,-3.384610032407739
553,-2.389509582418412
554,-3.024089664759969
555,-2.5922136973201546
556,-2.832239785923482
557,-2.8738690441887385
558,-2.33653634638216
559,-2.8489601038090595
560,-2.3476874091920967
561,-2.4030509296983196
562,-1.976403628944799
563,-3.3729602225278743
564,-4.219874283346579
565,-2.3383042827697933
566,-2.4410508912700024
567,-1.9864487332237675
568,-1.8572457094260097
569,-3.596894849360806
570,-3.326842650133633
571,-2.8496706405787844
572,-2.507979657155569
573,-1.811369246239057
574,-2.3739565315885116
575,-2.4296608026163486
576,-1.8766966287495026
577,-3.3041232993324092
578,-3.8286317165919534
579,-3.3847652600116653
580,-2.352644253731456
581,-2.3730801235171484
582,-2.3490771879364614
583,-3.941088138082038
584,-3.5675332100078365
585,-3.3224373977382085
586,-1.8266358285361033
587,-2.9476118767858663
588,-2.816462948440276
589,-2.846955075594406
590,-3.0141956696036645
591,-2.9667867112661463
592,-2.772459899717024
593,-2.338517419833325
594,-2.3554522383294603
595,-2.279092729665604
596,-3.535136251925928
597,-2.3373402140790573
598,-1.3102201278009211
599,-1.8572862327412594
600,-1.5871705048249254
601,-2.780542231777576
602,-2.4880943175978283
603,-2.7491648666474275
604,-2.9314102803752564
605,-3.393785911477054
606,-2.8002988549633328
607,-2.7648196418961444
608,-2.984937132625879
609,-2.7341528453425363
610,-2.4944838591984575
611,-2.5198265940694724
612,-2.9986591136224403
613,-1.8557046169489326
614,-1.8060003123790531
615,-1.9878753130153552
616,-1.9031741533248943
617,-2.4344154772906688
618,-1.4953103856552084
619,-3.3349582696304507
620,-1.8685015714692388
621,-2.838892756136193
622,-2.806743900814218
623,-2.7600204863171602
624,-2.8135786439633232
625,-2.0843006973807805
626,-3.3620090516686423
627,-1.9967065886966728
628,-2.888685605661394
629,-2.813050755897243
630,-3.143831431165778
631,-3.4132374163597206
632,-2.3320521012926805
633,-1.3734229249158452
634,-1.82669226171134
635,-1.9787319968602524
636,-1.6119514285620098
637,-1.9211160671711789
638,-2.8939789437408368
639,-2.402779897259461
640,-1.9027619351065983
641,-2.8900690834149083
642,-2.744407033878251
643,-2.832347847274319
644,-1.3962284703892176
645,-2.4005989000405306
646,-3.2680032555915792
647,-2.78289137148488
648,-1.8721256233562769
649,-1.423094367015197
650,-3.0481457222936434
651,-1.8242096208978074
652,-2.319628899230768
653,-2.2553090048909965
654,-3.985055450218683
655,-2.885951543368988
656,-1.8348242573834528
657,-3.2370452912137795
658,-2.3678273587297247
659,-1.931404617935903
660,-3.252387664470079
661,-0.9727833001281012
662,-1.9105895311126786
663,-2.346869046775078
664,-3.2793516912709575
665,-2.332781870394248
666,-2.4086465688737406
667,-2.3115429001335346
668,-1.2786237836740324
669,-2.912125223188598
670,-1.7855983717589343
671,-2.273897818150062
672,-1.9114072250846932
673,-2.299783460618407
674,-2.790515824700867
675,-1.4934590940008114
676,-2.331630753873502
677,-2.466080654096639
678,-3.2233300526409034
679,-2.4618319826505983
680,-2.7722701000264607
681,-2.308479141589931
682,-2.913173560606633
683,-2.829644460266442
684,-2.919251238729004
685,-1.9071732216432777
686,-2.379958297562697
687,-1.4699217645887153
688,-1.3261908672578724
689,-2.276042346623908
690,-1.4591191126144698
691,-2.7883233458254217
692,-2.3560097282424
693,-1.5016158957661876
694,-3.7895656981956614
695,-2.363020481510466
696,-1.9447301437494924
697,-1.983713694399313
698,-2.40691175724975
699,-3.3336972767654247
700,-2.2763785467390387
701,-2.2721907624171047
702,-3.227527250834178
703,-2.417424628118746
704,-1.9517131102701037
705,-3.244771442117014
706,-2.279445719641146
707,-1.8420451614559825
708,-1.8218808336899057
709,-1.9241636210614774
710,-2.38704093258012
711,-2.3400653699495293
712,-1.876083456731406
713,-2.2801624175300637
714,-1.8931704301215637
715,-2.858538933375823
716,-1.8076971043265497
717,-2.8170146393749023
718,-2.704030761476026
719,-2.7278784460178693
720,-1.3654848548339276
721,-2.2980063056040656
722,-2.2799975097182967
723,-2.3732359851667826
724,-2.905576282424062
725,-2.897935732808837
726,-2.996806606744622
727,-2.3821046743081165
728,-2.8380230283271177
729,-2.813429479663066
730,-2.7780550949429514
731,-1.778315480884975
732,-2.2464546828405343
733,-1.7318050190489291
734,-2.7685080710336782
735,-3.4737255226848807
736,-1.7767566529593466
737,-3.2740318825685195
738,-2.3080242283776045
739,-1.8604176909698955
740,-1.3642845349743453
741,-2.89283810431186
742,-2.381315783342425
743,-1.7402843287577954
744,-2.862658735175629
745,-2.3394013902033404
746,-2.2885319618107487
747,-2.288727230449165
748,-3.3251543387235705
749,-1.3765678878014693
750,-2.29168624595194
751,-2.239881609330626
752,-1.941906338933595
753,-2.282793969146015
754,-2.7369694087138208
755,-2.805251495153278
756,-2.7264598276549936
757,-1.7758707887548282
758,-1.852550140094103
759,-2.3215059739080335
760,-2.27154559770487
761,-2.802695324574569
762,-2.2747287216641587
763,-2.689484168357936
764,-3.212792071609674
765,-1.9642362682962582
766,-3.736158992402193
767,-1.746831331569677
768,-2.827084013513274
769,-2.3375756210904095
770,-3.1860665871002904
771,-1.8877982331192569
772,-1.4007015579896378
773,-1.4051239447784545
774,-2.747061981512476
775,-2.7918072833279814
776,-2.3301843499137225
777,-2.358196162366082
778,-1.8639480113633147
779,-1.8198297999308153
780,-2.291079351804266
781,-1.7422350295800872
782,-2.8183741329278105
783,-2.8026350543640173
784,-2.903137990398403
785,-2.2534241836949134
786,-1.8725618839891804
787,-2.249862482862694
788,-2.332632169015716
789,-1.3839188887856018
790,-2.263056128915113
791,-2.683582011205291
792,-2.2859223926181507
793,-1.8791723184857985
794,-2.9080511121736237
795,-3.2017365027037368
796,-1.7883066781192312
797,-2.248080693772086
798,-1.875030713667706
799,-1.3480306659247903
800,-3.237591086218871
801,-1.7558373490091879
802,-1.36631716703105
803,-2.2960458197290365
804,-2.3005087795800816
805,-2.144986108560023
806,-2.2276160163692778
807,-2.268867115459112
808,-2.214395526288978
809,-1.7401408556480435
810,-3.6886144174146414
811,-2.352722775850348
812,-3.2315443679007876
813,-2.638521621391681
814,-2.2696156549279003
815,-2.7640218910240395
816,-2.229316637378343
817,-2.2722654878740447
818,-2.280076460468626
819,-2.7478733468283325
820,-2.6728400149681066
821,-2.668182192000053
822,-1.4122586254278897
823,-2.2457768771173643
824,-1.4339492390691282
825,-1.8633435686913506
826,-2.371271065968424
827,-2.2178006877933507
828,-2.3700194528883163
829,-1.7663861552886542
830,-1.3535926277157464
831,-2.306650787974934
832,-2.20606598593455
833,-1.8789632742547884
834,-2.2901455315166888
835,-2.178214662133541
836,-2.273390074617232
837,-2.8059528620281813
838,-1.725875564729223
839,-2.281058961111788
840,-2.1738129891717923
841,-1.896848783524614
842,-1.7231552729353845
843,-2.7387669634720817
844,-1.7703944273987766
845,-2.4561745779947417
846,-1.7862138067580762
847,-2.2487859431810993
848,-1.323506264224728
849,-1.9811822402504657
850,-2.289538491003676
851,-2.2326717104849254
852,-1.8285895422395435
853,-2.330920421491784
854,-1.8643996878163258
855,-2.217561389640178
856,-1.850713211302189
857,-2.723014355294542
858,-2.3489884439643864
859,-2.2778705452110577
860,-1.730513832966032
861,-2.3309497707687576
862,-2.717075275433742
863,-2.784643392618939
864,-2.796615403131368
865,-2.294734107396107
866,-2.866511275411442
867,-1.7267046221652491
868,-2.2227045591807992
869,-1.8356771475842646
870,-2.2334504135568607
871,-2.197043215984617
872,-2.2399600470217877
873,-2.259013970988824
874,-1.3370374702787609
875,-2.2508133778557853
876,-2.728126245939268
877,-2.1840321743756044
878,-2.2764447921461683
879,-2.227883714655092
880,-3.2501641505745154
881,-2.2346559369418113
882,-1.8346441637986535
883,-1.436431847019527
884,-1.8031970825643442
885,-2.2696598899324787
886,-1.2942682678489652
887,-2.7408598264955444
888,-2.2498252819369884
889,-2.2612632832527466
890,-1.8055758072868078
891,-1.827147126713085
892,-2.1889689246212556
893,-2.7311852370502283
894,-1.8230966118586314
895,-2.3213598817695487
896,-1.8868161072448182
897,-1.861727670396876
898,-1.9140312738847496
899,-2.2344331788906255
900,-2.3719931817971496
901,-1.2909169136286351
902,-2.2569826923853724
903,-2.3075357046764635
904,-1.6687324620062678
905,-1.794746703848736
906,-2.345177815110812
907,-2.2000433407691946
908,-1.7909350287700276
909,-2.7004088874714824
910,-1.769985939819601
911,-2.354755331760117
912,-3.1787231964605174
913,-2.149330880260445
914,-2.747477841863655
915,-2.3183149330587334
916,-2.2983114716848387
917,-1.7345301212786435
918,-1.7575850992338997
919,-1.8613095750502686
920,-2.7626087324966706
921,-1.8247917036464498
922,-1.8054662711760006
923,-2.3019316542219865
924,-2.757262851711839
925,-2.7400962776067734
926,-2.332171702754453
927,-2.299084816599582
928,-2.278122247560002
929,-2.6547613021391236
930,-1.814201034373738
931,-2.295781663612597
932,-1.8105868248935006
933,-2.2645503302491186
934,-2.2999096945509607
935,-2.2264563602396974
936,-2.2210426107767667
937,-2.2083922912421965
938,-1.8020818179110754
939,-1.855330600179393
940,-2.2705350821146397
941,-3.1969469428911355
942,-2.686105255845043
943,-1.7772831351226297
944,-1.7746816386977662
945,-2.6684235992007914
946,-2.252304805270712
947,-1.87984098163655
948,-1.8123240516523058
949,-1.7308689423860928
950,-1.726119081176883
951,-2.2861711112325787
952,-1.724966282680366
953,-2.1950650916634533
954,-1.7298629769217544
955,-2.67299808530002
956,-2.2817006829385758
957,-2.2313250282488055
958,-2.1898435068056394
959,-2.3438391555805818
960,-2.7188118469048645
961,-1.8219210736136138
962,-1.8106291351175128
963,-2.282973348638692
964,-1.7901133062278443
965,-2.18574867425129
966,-2.6326062966694517
967,-1.2937385228932703
968,-1.7976012545240632
969,-1.8721565943073686
970,-2.226803452543123
971,-2.1953928797381366
972,-2.6661054406318776
973,-2.737479529408805
974,-2.6539760719568775
975,-1.8119330230796409
976,-2.2855407724642216
977,-1.7201731421256854
978,-1.796601471923577
979,-1.8148095920958103
980,-1.3373384516023532
981,-1.2073663867183857
982,-1.7409543223404627
983,-2.7240332766967947
984,-2.6869424322007425
985,-2.275881832165011
986,-1.3517447831814156
987,-1.7830770671925191
988,-2.287387063011987
989,-2.77681005901863
990,-2.2132569359543113
991,-2.180383778921782
992,-1.3741472797610292
993,-2.2369870512118344
994,-2.801959135863563
995,-1.7972375597981383
996,-2.164745785339033
997,-2.2221983145351896
998,-2.787561806296882
999,-2.180617746536681
