,Baseline,MCPPO,HRL
600,1.6771804674311859,1.7045015997632968,1.8616768716504926
800,1.78223755366245,1.7985115923699007,1.9563055955446942
1000,1.8873318194419195,1.8751794757512432,1.9763209467208607
1200,1.911770089794643,1.8959730303601994,2.0743814571977968
