,Baseline,MCPPO,HRL
700,1.7477750432675159,1.679816820631422,1.7800372051066564
900,1.8932084672555838,1.7655032968668514,1.8579931507795375
1100,1.9277663344478566,1.808278444440818,1.8974932547008732
1300,2.0130307474697338,1.8536297500379182,1.9656917879177858
