,-LN(loss),Time_totall,Rounds,Time_Average,Average_Price
200,0.03386799577632532,2815.3469582337875,5.11,550.842352860111,41.106848162478364
400,0.42251084412395995,5999.614228119977,10.95,547.86822826627,38.83635997860442
600,0.6050025058720397,8316.993319181984,15.0,554.4662212787989,41.15525488901784
800,0.9135934927412345,14100.719383947528,25.08,562.2098129728003,32.510543542635126
1000,1.01957479540736,16833.789882704958,30.01,560.9325170479126,33.86444528631866
