,Baseline,MCPPO,HRL
600,-116.40094229182338,-114.3028212517155,-93.36887037907874
800,-112.26443941493453,-114.76681592109756,-93.51169182111437
1000,-114.6876548206053,-115.67622760337626,-85.38297048345581
1200,-105.82919190018356,-107.13307441535221,-91.7262859273946
