,Baseline,MCPPO,HRL
600,-767.7378385369051,-723.8571676702048,-0.06051741379843174
800,-667.5720605508162,-725.9731274489748,-0.10874946628048451
1000,-726.0309556946048,-735.5136586222558,-0.02426238187837971
1200,-559.5271690633551,-581.0978354567526,-0.04638572733795471
